Sydney|-33.86,151.21,39.0|2017-07-28T11:33:04.33|Sunny|16.0|1021.0|54.0
Melbourne|-37.81,144.96,31.0|2017-07-28T11:33:04.33|Sunny|11.0|1013.0|76.0
Canberra|-35.47,149.01,720.0|2017-07-28T11:33:04.33|Sunny|3.0|1020.0|69.0
Darwin|-36.68,143.58,209.0|2017-07-28T11:33:04.33|Sunny|25.0|1014.0|57.0
Hobart|42.88,147.32,19.0|2017-07-28T11:33:04.33|Rain|11.0|1007.0|61.0
Adelaide|-34.66,138.68,59.0|2017-07-28T11:33:04.33|Sunny|13.0|1020.0|71.0
NewCastle|32.92,151.78,9.0|2017-07-28T11:33:04.33|Sunny|9.0|1022.0|87.0
Wollongong|-34.42,150.89,5.0|2017-07-28T11:33:04.33|null|0.0|0.0|0.0
Sydney|-33.86,151.21,39.0|2017-07-28T11:33:05.013|Sunny|16.0|1021.0|54.0
Melbourne|-37.81,144.96,31.0|2017-07-28T11:33:05.013|Sunny|11.0|1013.0|76.0
Canberra|-35.47,149.01,720.0|2017-07-28T11:33:05.013|Sunny|2.0|1020.0|69.0
Darwin|-36.68,143.58,209.0|2017-07-28T11:33:05.013|Sunny|25.0|1014.0|57.0
Hobart|42.88,147.32,19.0|2017-07-28T11:33:05.013|Rain|11.0|1007.0|61.0
Adelaide|-34.66,138.68,59.0|2017-07-28T11:33:05.013|Sunny|13.0|1020.0|70.0
NewCastle|32.92,151.78,9.0|2017-07-28T11:33:05.013|Sunny|9.0|1022.0|87.0
Wollongong|-34.42,150.89,5.0|2017-07-28T11:33:05.013|null|0.0|0.0|0.0
Sydney|-33.86,151.21,39.0|2017-07-28T11:34:15.337|Sunny|16.0|1021.0|54.0
Melbourne|-37.81,144.96,31.0|2017-07-28T11:34:15.337|Sunny|11.0|1013.0|76.0
Canberra|-35.47,149.01,720.0|2017-07-28T11:34:15.337|Sunny|3.0|1020.0|69.0
Darwin|-36.68,143.58,209.0|2017-07-28T11:34:15.337|Sunny|25.0|1014.0|57.0
Hobart|42.88,147.32,19.0|2017-07-28T11:34:15.337|Rain|11.0|1007.0|61.0
Adelaide|-34.66,138.68,59.0|2017-07-28T11:34:15.337|Sunny|13.0|1020.0|70.0
NewCastle|32.92,151.78,9.0|2017-07-28T11:34:15.337|Sunny|9.0|1022.0|87.0
Wollongong|-34.42,150.89,5.0|2017-07-28T11:34:15.337|null|0.0|0.0|0.0
Sydney|-33.86,151.21,39.0|2017-07-28T11:35:37.823|Sunny|16.0|1021.0|54.0
Melbourne|-37.81,144.96,31.0|2017-07-28T11:35:37.823|Sunny|11.0|1013.0|76.0
Canberra|-35.47,149.01,720.0|2017-07-28T11:35:37.823|Sunny|3.0|1020.0|69.0
Darwin|-36.68,143.58,209.0|2017-07-28T11:35:37.823|Sunny|25.0|1014.0|57.0
Hobart|42.88,147.32,19.0|2017-07-28T11:35:37.823|Rain|11.0|1007.0|61.0
Adelaide|-34.66,138.68,59.0|2017-07-28T11:35:37.823|Sunny|13.0|1020.0|70.0
NewCastle|32.92,151.78,9.0|2017-07-28T11:35:37.823|Sunny|9.0|1022.0|87.0
Wollongong|-34.42,150.89,5.0|2017-07-28T11:35:37.823|null|0.0|0.0|0.0
